Unnamed: 0,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,Year
,9,Sam Novitske,0,R,So,if,15,62,11,15,4,0,0,2,2,1,8,23,2,2,0,0,0,19,74,4,11,0.242,0.347,0.306,0.654,0.21,0.065,.385,10.81,31.08,2.88,--,College,--,2019-2022,--,2020
,--,Kenyon Yovan,22,R,--,p,15,56,22,24,2,1,4,9,0,1,15,9,4,0,1,0,1,40,76,7,17,0.429,0.566,0.714,1.28,0.536,0.286,.455,19.74,11.84,0.60,14.00,AAA,--,2017-2024,2019- 27- 811-ANA,2020
,12,Gabe Matthews,22,L,Sr,1b,15,56,13,19,5,1,1,15,0,0,13,10,5,0,0,0,0,29,74,7,12,0.339,0.5,0.518,1.018,0.411,0.179,.400,17.57,13.51,0.77,56.00,AAA,--,2017-2023,2021- UDFA-ANA,2020
,31,Tanner Smith,20,L,So,of,15,55,13,13,3,0,0,4,2,0,13,10,6,0,1,0,2,16,75,3,10,0.236,0.427,0.291,0.718,0.327,0.055,.283,17.33,13.33,0.77,--,Indy,--,2019-2023,--,2020
,13,Aaron Zavala,20,L,So,of,15,55,7,23,1,0,1,22,2,0,8,3,2,0,2,0,4,27,67,2,21,0.418,0.493,0.491,0.983,0.255,0.073,.415,11.94,4.48,0.38,55.00,AA,--,2019-2024,2021- 2- 38-TEX,2020
,5,Gavin Grant,0,R,So,if,15,46,5,12,1,1,0,1,3,0,12,14,1,3,0,0,2,15,62,2,10,0.261,0.424,0.326,0.75,0.391,0.065,.375,19.35,22.58,1.17,--,College,--,2019-2023,--,2020
,35,Anthony Hall,19,L,Fr,1b,14,44,6,11,1,2,1,9,0,0,5,12,2,0,1,0,1,19,52,4,7,0.25,0.346,0.432,0.778,0.295,0.182,.313,9.62,23.08,2.40,44.00,A+,--,2020-2024,2022- 4- 130-NYA,2020
,2,Jack Scanlon,0,L,Fr,c-p,14,41,5,12,2,0,2,9,0,0,5,10,3,0,1,0,0,20,50,4,8,0.293,0.4,0.488,0.888,0.317,0.195,.333,10.0,20.0,2.00,20.50,College,--,2020-2024,--,2020
,45,Josh Kasevich,0,R,Fr,p-if,14,37,2,5,1,0,0,2,0,1,1,8,0,2,0,0,1,6,40,1,4,0.135,0.158,0.162,0.32,0.027,0.027,.172,2.5,20.0,8.00,--,AA,--,2020-2024,2022- 2- 60-TOR,2020
,20,Evan Williams,0,R,Jr,of,13,19,2,4,1,0,0,7,4,1,0,8,1,0,1,0,0,5,21,1,3,0.211,0.238,0.263,0.501,0.211,0.053,.333,0.0,38.1,--,--,College,--,2018-2021,--,2020
