Unnamed: 0,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,Year
,16,Robby Ahlstrom,21,L,Jr,Starter,2,1,4,4,0,0,0,0,0,23.2,29,16,16,0,7,18,0,0,1,6.08,1.52,11.03,0.0,2.66,6.85,6.08,2.57,AAA,--,2019-2024,2021- 7- 213-NYA,2020
,3,Brett Walker,21,R,Jr,St/Rel,3,0,5,3,0,0,2,0,0,21.1,13,2,2,1,1,10,0,0,1,0.84,0.66,5.48,0.42,0.42,4.22,0.84,10.0,College,--,2018-2022,--,2020
,32,Peyton Fuller,21,R,Jr,Starter,1,0,4,4,0,0,0,0,0,19.0,18,9,6,0,5,17,1,0,4,2.84,1.21,8.53,0.0,2.37,8.05,4.26,3.4,College,--,2018-2023,--,2020
,33,Cullen Kafka,21,R,Jr,Starter,0,1,4,4,0,0,0,0,0,18.1,20,15,10,0,10,16,3,0,3,4.91,1.64,9.82,0.0,4.91,7.85,7.36,1.6,A+,--,2018-2023,2021- 9- 260-COL,2020
,47,Hunter Breault,21,R,Jr,Reliever,1,1,7,0,0,0,7,0,1,9.2,5,1,0,0,5,3,1,0,0,0.0,1.03,4.66,0.0,4.66,2.79,0.93,0.6,AAA,--,2018-2024,2021- 20- 608-OAK,2020
,23,Andrew Mosiello,0,R,Fr,Reliever,0,0,4,0,0,0,4,0,1,9.2,6,5,5,0,3,9,0,0,2,4.66,0.93,5.59,0.0,2.79,8.38,4.66,3.0,College,--,2020-2024,--,2020
,24,Kolby Somers,21,L,Jr,Reliever,1,0,6,0,0,0,6,0,0,8.0,2,0,0,0,2,5,1,0,0,0.0,0.5,2.25,0.0,2.25,5.62,0.0,2.5,College,--,2018-2022,2017- 38-1143-SEA,2020
,7,Nico Tellache,22,L,Sr,Reliever,0,0,6,0,0,0,6,0,0,7.0,7,3,3,1,4,8,1,0,0,3.86,1.57,9.0,1.29,5.14,10.29,3.86,2.0,AAA,--,2017-2023,--,2020
,19,Keaton Chase,0,R,So,Reliever,0,1,7,0,0,0,7,0,0,6.1,7,7,6,0,4,5,1,0,1,8.53,1.74,9.95,0.0,5.68,7.11,9.95,1.25,College,--,2019-2024,--,2020
,41,Decker Stedman,0,L,Fr,Reliever,0,1,4,0,0,0,4,0,0,5.2,4,2,1,0,1,7,3,0,2,1.59,0.88,6.35,0.0,1.59,11.12,3.18,7.0,College,--,2020-2024,--,2020
